hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
976;Szarvasi espresso kávéfőző;EH9708;Egyéb elektromos háztartási asztali eszk;1230;Szarvasi kávéfőző;EH0103;Kávéfőző
976;Szarvasi espresso kávéfőző;EH9708;Egyéb elektromos háztartási asztali eszk;28985;Szarvasi kávéfőző;EH0103;Kávéfőző
1966;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1966;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
4108;Monitor - LG IPS;SS02;Monitor;5464;LG Monitor;SS02;Monitor
4108;Monitor - LG IPS;SS02;Monitor;4630;Monitor LG;SS02;Monitor
3888;Laptop - Dell Vostro 3500;SS03;Laptop;4552;Laptop - Latitude 3500;SS03;Laptop
3888;Laptop - Dell Vostro 3500;SS03;Laptop;4632;Laptop DELL;SS03;Laptop
1944;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1944;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
1925;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1925;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
1386;Laptop Dell Inspiron 15;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1386;Laptop Dell Inspiron 15;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1667;Monitor - Dell Inspiron 5559;SS02;Monitor;5182;Monitor DELL;SS02;Monitor
1667;Monitor - Dell Inspiron 5559;SS02;Monitor;5228;Dell Monitor;SS02;Monitor
2627;"Monitor- DELL LCD Monitor 23""";SS02;Monitor;5224;monitor DELL;SS02;Monitor
2627;"Monitor- DELL LCD Monitor 23""";SS02;Monitor;5180;Monitor DELL;SS02;Monitor
1421;Laptop Dell Inspiron;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1421;Laptop Dell Inspiron;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
2662;Projektor - BENQ MW535;KK01;Projektor;5061;projektor BenQ;KK01;Projektor
2662;Projektor - BENQ MW535;KK01;Projektor;5219;projektor Epson eb-w05;KK01;Projektor
1941;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1941;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
1422;Laptop Dell Inspiron;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1422;Laptop Dell Inspiron;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
4120;Monitor - LG IPS;SS02;Monitor;5464;LG Monitor;SS02;Monitor
4120;Monitor - LG IPS;SS02;Monitor;4630;Monitor LG;SS02;Monitor
3350;Laptop - Dell NB Vostro 3590;SS03;Laptop;4367;Laptop - Vostro 3590;SS03;Laptop
3350;Laptop - Dell NB Vostro 3590;SS03;Laptop;5336;Laptop - Vostro 3590;SS03;Laptop
1904;Projektor - CP-X3042WN;KK01;Projektor;5061;projektor BenQ;KK01;Projektor
1904;Projektor - CP-X3042WN;KK01;Projektor;5219;projektor Epson eb-w05;KK01;Projektor
2681;Monitor - AOC I2490VXQ/BT;SS02;Monitor;4820;Monitor AOC;SS02;Monitor
2681;Monitor - AOC I2490VXQ/BT;SS02;Monitor;4922;monitor aoc;SS02;Monitor
2462;Mosógép- Electrolux EWS1276CI;EH13;Mosógép;253883;étkezőasztal 4 szem.;BA0201;Étkező asztal 4. személyes
2462;Mosógép- Electrolux EWS1276CI;EH13;Mosógép;253772;4 szem étkezőasztal;BA0201;Étkező asztal 4. személyes
1423;Laptop DELL Inspiron 15;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1423;Laptop DELL Inspiron 15;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1939;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1939;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
3673;Laptop - ASUS VivoBook S15;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3673;Laptop - ASUS VivoBook S15;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
2160;"Laptop - Acer 11.6"" HD Intel Celeron";SS03;Laptop;4868;Laptop;SS03;Laptop
2160;"Laptop - Acer 11.6"" HD Intel Celeron";SS03;Laptop;5315;laptop Acer netbook;SS03;Laptop
1644;SWITCH LINKSYS 8 PORTOS EZXS88W;SH05;Switch;5048;D-LINK Switch 8 portos;SH99;Egyéb hálózati eszköz
1644;SWITCH LINKSYS 8 PORTOS EZXS88W;SH05;Switch;5333;Switch;SH99;Egyéb hálózati eszköz
3852;Laptop - DELL Latitude 3520;SS03;Laptop;4543;Laptop DELL Latitude 3520;SS03;Laptop
3852;Laptop - DELL Latitude 3520;SS03;Laptop;4555;Laptop - Latitude 3520;SS03;Laptop
1947;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
